date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:20	8461/8461	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2010:02:18%20GMT	https://criccoder264.pages.dev/SSH	D:/WEB/cric/criccoder264.pages.dev/SSH.html	(from )
15:32:20	14454/14454	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2010:02:19%20GMT	https://criccoder264.pages.dev/robots.txt		(from )
15:32:21	46082/46082	---MCZ	200	added ('OK')	text/css	etag:W/%22e17fc56c1761623ae8c5f7c214d8be6b%22	https://cxh.pages.dev/style.css	D:/WEB/cric/cxh.pages.dev/style.css	(from https://criccoder264.pages.dev/SSH)
15:32:21	149085/149085	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2024%20Nov%202024%2010:01:54%20GMT	https://content.jwplatform.com/libraries/KB5zFt7A.js	D:/WEB/cric/content.jwplatform.com/libraries/KB5zFt7A.js	(from https://criccoder264.pages.dev/SSH)
15:32:24	55500/55500	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2010:02:20%20GMT	https://criccoder264.pages.dev/ZpMb448I.m	D:/WEB/cric/criccoder264.pages.dev/ZpMb448I.html	(from https://criccoder264.pages.dev/SSH)
15:32:25	55500/55500	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2010:02:20%20GMT	https://criccoder264.pages.dev/DROID/mid/	D:/WEB/cric/criccoder264.pages.dev/DROID/mid/index.html	(from https://criccoder264.pages.dev/SSH)
15:32:27	55500/55500	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2010:02:21%20GMT	https://criccoder264.pages.dev/	D:/WEB/cric/criccoder264.pages.dev/index.html	(from https://criccoder264.pages.dev/SSH)
15:32:28	55500/55500	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2010:02:21%20GMT	https://criccoder264.pages.dev/legram.me/	D:/WEB/cric/criccoder264.pages.dev/legram.me/index.html	(from https://criccoder264.pages.dev/SSH)
15:32:29	55500/55500	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2010:02:25%20GMT	https://criccoder264.pages.dev/DROID/mid/legram.me/	D:/WEB/cric/criccoder264.pages.dev/DROID/mid/legram.me/index.html	(from https://criccoder264.pages.dev/DROID/mid/)
15:32:30	55500/55500	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Nov%202024%2010:02:27%20GMT	https://criccoder264.pages.dev/legram.me/legram.me/	D:/WEB/cric/criccoder264.pages.dev/legram.me/legram.me/index.html	(from https://criccoder264.pages.dev/legram.me/)
